<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,03/05/21,16:31,132.0300000,132.1100000,131.8300000,132.0700000,52332
US1.AAPL,1,03/05/21,16:32,132.0600000,132.2800000,132.0000000,132.1900000,33828
US1.AAPL,1,03/05/21,16:33,132.2000000,132.4100000,132.1750000,132.3300000,19659
US1.AAPL,1,03/05/21,16:34,132.3400000,132.6500000,132.2250000,132.6300000,35281
US1.AAPL,1,03/05/21,16:35,132.6300000,132.7400000,132.5700000,132.6600000,22357
US1.AAPL,1,03/05/21,16:36,132.6400000,132.6400000,132.4400000,132.5200000,25539
US1.AAPL,1,03/05/21,16:37,132.4900000,132.7000000,132.4200000,132.7000000,21340
US1.AAPL,1,03/05/21,16:38,132.7100000,132.7700000,132.5200000,132.5500000,27513
US1.AAPL,1,03/05/21,16:39,132.5200000,132.5300000,132.3800000,132.4400000,19669
US1.AAPL,1,03/05/21,16:40,132.4400000,132.6400000,132.4300000,132.6100000,19702
US1.AAPL,1,03/05/21,16:41,132.6100000,132.6100000,132.5000000,132.6000000,17768
US1.AAPL,1,03/05/21,16:42,132.6300000,132.7000000,132.5200000,132.6750000,15811
US1.AAPL,1,03/05/21,16:43,132.6800000,132.8400000,132.6400000,132.8100000,18248
US1.AAPL,1,03/05/21,16:44,132.7900000,132.8100000,132.7400000,132.7600000,8948
US1.AAPL,1,03/05/21,16:45,132.7700000,132.9100000,132.7700000,132.9000000,14454
US1.AAPL,1,03/05/21,16:46,132.8900000,132.9550000,132.8200000,132.8700000,30948
US1.AAPL,1,03/05/21,16:47,132.8400000,132.8400000,132.6300000,132.7000000,18483
US1.AAPL,1,03/05/21,16:48,132.6800000,132.7400000,132.6300000,132.6700000,15923
US1.AAPL,1,03/05/21,16:49,132.6800000,132.9500000,132.6800000,132.9500000,17637
US1.AAPL,1,03/05/21,16:50,132.9500000,133.2200000,132.9400000,133.1500000,34025
US1.AAPL,1,03/05/21,16:51,133.1650000,133.2500000,133.0400000,133.2000000,44876
US1.AAPL,1,03/05/21,16:52,133.1400000,133.2000000,133.1000000,133.1500000,8522
US1.AAPL,1,03/05/21,16:53,133.1250000,133.2000000,133.1000000,133.1900000,10423
US1.AAPL,1,03/05/21,16:54,133.1900000,133.3000000,133.1800000,133.2800000,24213
US1.AAPL,1,03/05/21,16:55,133.2900000,133.3550000,133.2500000,133.2600000,9423
US1.AAPL,1,03/05/21,16:56,133.2400000,133.3500000,133.0700000,133.0700000,18595
US1.AAPL,1,03/05/21,16:57,133.0700000,133.2100000,133.0700000,133.1400000,9868
US1.AAPL,1,03/05/21,16:58,133.1450000,133.1800000,133.0800000,133.1300000,16581
US1.AAPL,1,03/05/21,16:59,133.1200000,133.1200000,133.0600000,133.0900000,9648
US1.AAPL,1,03/05/21,17:00,133.0900000,133.2200000,133.0900000,133.2200000,10593
US1.AAPL,1,03/05/21,17:01,133.1800000,133.2300000,133.0500000,133.1400000,22173
US1.AAPL,1,03/05/21,17:02,133.1650000,133.1800000,133.0800000,133.1500000,12251
US1.AAPL,1,03/05/21,17:03,133.1600000,133.2800000,133.0600000,133.0600000,17904
US1.AAPL,1,03/05/21,17:04,133.0800000,133.2000000,133.0000000,133.2000000,12688
US1.AAPL,1,03/05/21,17:05,133.2000000,133.2800000,133.2000000,133.2400000,14630
US1.AAPL,1,03/05/21,17:06,133.2300000,133.3300000,133.1700000,133.3100000,11149
US1.AAPL,1,03/05/21,17:07,133.3100000,133.4600000,133.3000000,133.4000000,23575
US1.AAPL,1,03/05/21,17:08,133.4200000,133.6500000,133.4200000,133.6200000,40371
US1.AAPL,1,03/05/21,17:09,133.6300000,133.6500000,133.5200000,133.5500000,17479
US1.AAPL,1,03/05/21,17:10,133.5500000,133.5500000,133.4600000,133.5100000,19039
US1.AAPL,1,03/05/21,17:11,133.5100000,133.6200000,133.5100000,133.5400000,14046
US1.AAPL,1,03/05/21,17:12,133.5500000,133.7100000,133.5500000,133.6900000,21326
US1.AAPL,1,03/05/21,17:13,133.7000000,133.7800000,133.6500000,133.7000000,30070
US1.AAPL,1,03/05/21,17:14,133.6900000,133.7300000,133.6000000,133.7000000,22837
US1.AAPL,1,03/05/21,17:15,133.7200000,133.7800000,133.7000000,133.7500000,11326
US1.AAPL,1,03/05/21,17:16,133.7600000,133.9700000,133.7600000,133.9600000,19849
US1.AAPL,1,03/05/21,17:17,133.9700000,134.0600000,133.9000000,133.9800000,32962
US1.AAPL,1,03/05/21,17:18,133.9900000,134.0200000,133.8800000,133.9000000,15487
US1.AAPL,1,03/05/21,17:19,133.8900000,133.9600000,133.8800000,133.8900000,7460
US1.AAPL,1,03/05/21,17:20,133.8900000,133.9000000,133.8400000,133.8900000,20018
US1.AAPL,1,03/05/21,17:21,133.8900000,133.9400000,133.7500000,133.7500000,28557
US1.AAPL,1,03/05/21,17:22,133.7400000,133.7400000,133.6400000,133.6900000,22913
US1.AAPL,1,03/05/21,17:23,133.7000000,133.7600000,133.6500000,133.6600000,12035
US1.AAPL,1,03/05/21,17:24,133.6700000,133.7600000,133.6300000,133.7400000,17933
US1.AAPL,1,03/05/21,17:25,133.7500000,133.8500000,133.7300000,133.7700000,12048
US1.AAPL,1,03/05/21,17:26,133.7200000,133.8300000,133.6900000,133.7900000,14637
US1.AAPL,1,03/05/21,17:27,133.7800000,133.8200000,133.7100000,133.7300000,15469
US1.AAPL,1,03/05/21,17:28,133.7200000,133.8600000,133.7200000,133.7700000,9293
US1.AAPL,1,03/05/21,17:29,133.7800000,133.8100000,133.7000000,133.7000000,12633
US1.AAPL,1,03/05/21,17:30,133.7200000,133.8350000,133.7200000,133.8000000,11663
US1.AAPL,1,03/05/21,17:31,133.8400000,133.9500000,133.8400000,133.8700000,20322
US1.AAPL,1,03/05/21,17:32,133.8800000,133.8950000,133.7700000,133.7700000,7466
US1.AAPL,1,03/05/21,17:33,133.7900000,133.8500000,133.7700000,133.8500000,8254
US1.AAPL,1,03/05/21,17:34,133.8400000,133.8800000,133.7800000,133.8800000,10047
US1.AAPL,1,03/05/21,17:35,133.8900000,133.9700000,133.8800000,133.9500000,7500
US1.AAPL,1,03/05/21,17:36,133.9600000,134.0000000,133.8700000,134.0000000,14124
US1.AAPL,1,03/05/21,17:37,134.0100000,134.0400000,133.9100000,133.9800000,13905
US1.AAPL,1,03/05/21,17:38,134.0000000,134.0000000,133.7400000,133.7900000,16885
US1.AAPL,1,03/05/21,17:39,133.7950000,133.7950000,133.7200000,133.7700000,9126
US1.AAPL,1,03/05/21,17:40,133.7800000,133.8000000,133.6900000,133.7300000,10100
US1.AAPL,1,03/05/21,17:41,133.7100000,133.7600000,133.6100000,133.7600000,14154
US1.AAPL,1,03/05/21,17:42,133.7500000,133.7600000,133.6600000,133.6800000,12600
US1.AAPL,1,03/05/21,17:43,133.6600000,133.6600000,133.5300000,133.5300000,15900
US1.AAPL,1,03/05/21,17:44,133.5200000,133.5500000,133.4600000,133.4800000,10202
US1.AAPL,1,03/05/21,17:45,133.4700000,133.4700000,133.4200000,133.4500000,8422
US1.AAPL,1,03/05/21,17:46,133.4400000,133.6100000,133.3400000,133.5800000,17088
US1.AAPL,1,03/05/21,17:47,133.5700000,133.5800000,133.4700000,133.4800000,6664
US1.AAPL,1,03/05/21,17:48,133.4400000,133.4600000,133.3800000,133.4300000,7379
US1.AAPL,1,03/05/21,17:49,133.4300000,133.4300000,133.2600000,133.3500000,10193
US1.AAPL,1,03/05/21,17:50,133.3400000,133.3400000,133.2600000,133.3000000,7791
US1.AAPL,1,03/05/21,17:51,133.2800000,133.3000000,133.2500000,133.3000000,5530
US1.AAPL,1,03/05/21,17:52,133.3000000,133.3100000,133.1300000,133.1700000,8629
US1.AAPL,1,03/05/21,17:53,133.1300000,133.1800000,132.9700000,132.9800000,22970
US1.AAPL,1,03/05/21,17:54,132.9800000,133.0000000,132.8200000,132.8300000,14757
US1.AAPL,1,03/05/21,17:55,132.8500000,132.8700000,132.6900000,132.8300000,24408
US1.AAPL,1,03/05/21,17:56,132.8100000,132.9300000,132.8100000,132.9000000,11985
US1.AAPL,1,03/05/21,17:57,132.9100000,132.9500000,132.8600000,132.8800000,4474
US1.AAPL,1,03/05/21,17:58,132.8500000,132.8800000,132.7600000,132.7850000,10457
US1.AAPL,1,03/05/21,17:59,132.8000000,132.8000000,132.6400000,132.7100000,17078
US1.AAPL,1,03/05/21,18:00,132.7100000,132.7800000,132.7100000,132.7700000,5263
US1.AAPL,1,03/05/21,18:01,132.7700000,132.7700000,132.5100000,132.5800000,11230
US1.AAPL,1,03/05/21,18:02,132.5800000,132.7700000,132.5800000,132.7300000,16661
US1.AAPL,1,03/05/21,18:03,132.7400000,132.8100000,132.6600000,132.7900000,7535
US1.AAPL,1,03/05/21,18:04,132.7900000,132.8200000,132.7200000,132.7700000,12750
US1.AAPL,1,03/05/21,18:05,132.7800000,132.8000000,132.7100000,132.7100000,4954
US1.AAPL,1,03/05/21,18:06,132.7100000,132.7600000,132.6900000,132.7300000,5186
US1.AAPL,1,03/05/21,18:07,132.7200000,132.8400000,132.7000000,132.8300000,11543
US1.AAPL,1,03/05/21,18:08,132.7800000,132.8400000,132.7800000,132.8300000,8336
US1.AAPL,1,03/05/21,18:09,132.8200000,132.8400000,132.7900000,132.8300000,5809
US1.AAPL,1,03/05/21,18:10,132.8500000,132.9500000,132.8300000,132.9300000,11362
US1.AAPL,1,03/05/21,18:11,132.9200000,132.9300000,132.8800000,132.9200000,8365
US1.AAPL,1,03/05/21,18:12,132.9100000,132.9100000,132.4300000,132.5300000,32808
US1.AAPL,1,03/05/21,18:13,132.5300000,132.5700000,132.4100000,132.4800000,14643
US1.AAPL,1,03/05/21,18:14,132.4200000,132.5050000,132.3900000,132.4400000,8721
US1.AAPL,1,03/05/21,18:15,132.4100000,132.4800000,132.3800000,132.4300000,5643
US1.AAPL,1,03/05/21,18:16,132.4200000,132.5400000,132.3600000,132.5100000,6065
US1.AAPL,1,03/05/21,18:17,132.5000000,132.5500000,132.5000000,132.5400000,4494
US1.AAPL,1,03/05/21,18:18,132.5400000,132.5400000,132.4500000,132.4900000,5932
US1.AAPL,1,03/05/21,18:19,132.4700000,132.5400000,132.4600000,132.4800000,4366
US1.AAPL,1,03/05/21,18:20,132.4700000,132.4900000,132.4300000,132.4900000,4520
US1.AAPL,1,03/05/21,18:21,132.4800000,132.4800000,132.3300000,132.3800000,12386
US1.AAPL,1,03/05/21,18:22,132.3700000,132.6000000,132.3700000,132.5700000,7243
US1.AAPL,1,03/05/21,18:23,132.5500000,132.5500000,132.4400000,132.5100000,4607
US1.AAPL,1,03/05/21,18:24,132.5100000,132.5200000,132.4100000,132.4100000,3197
